Dataset_ID,Dataset_Name,Manifest_Version,Lifecycle_Status,Claim_IDs,Study_IDs,Source_Type,Source_Organization,Source_URL_or_DOI,Access_Date,License,Access_Restrictions,Citation_Text,Raw_File_Name,Local_Relative_Path,File_Format,Data_Split,Rows,Columns,Size_Bytes,SHA256,Integrity_Status,Schema_or_Data_Dictionary_Path,Collection_Method,Preprocessing_Status,Processing_Script_Path,QC_Status,Accessibility_Status,Owner,Last_Verified_Date,Notes
D001,,0.1,Draft,,,,,,,,,,,,,,,,,,Pending,,,Raw,,Pending,Internal,,,
D002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
